EIC,Company,Display Name,Source URL,Registry Download URL
24XINCOM-TRADE-D,INCOM TRADE s.r.o.,INCOM_TRADE_SK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
25X-ERUEUROPEGM1,ERU Europe GmbH,ERUEUROPE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
26X00000001311-J,AXPO ITALIA SPA,IT-AXPOITALIA_SR,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
26X00000009701-T,Duferco Energia S.p.A.,DUFERCO_ENERGIA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
26X00000106047-3,EURENERGIA,IT-EURENERGIASR,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
26X00000114980-5,VEOS,IT-VEOSSRL,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
27XALPIQ-ENERGYS,ALPIQ ENERGY SE,ALPIQ-ENERGY-CZ,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
28X-INTERENERGO8,Kelag International Ljubljana d.o.o.,KELAG-INT-LJ,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
28X000000000056P,KOLEKTOR SETUP D.O.O.,KOLEKTOR_SETUP,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
28X0000000000997,ENERGOLINK,ENERGOLINK,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
28XELECTRADE---R,ELECTRADE S.P.A.,ELECTRADE,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
29X10001000100CN,DUFERCO HELLAS Α.Ε.,DUFERCOHELLAS,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
